Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
11,2177,11,Apr 17,NYY,,TEX,"W,7-3",CG,4,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.279,.367,.512,.879,4,.72,-0.017,.92,-0.01%,0.25,3B
12,2178,12,Apr 18,NYY,,TEX,"W,5-2",CG,4,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,.295,.415,.523,.938,4,1.02,0.120,1.18,0.08%,1.47,3B
13,2179,13,Apr 20,NYY,@,OAK,"W,7-3",CG,5,2,2,1,0,0,1,3,3,0,1,0,0,0,0,0,0,0,.304,.448,.587,1.035,4,.60,0.137,.77,0.11%,2.96,3B
14,2180,14,Apr 21,NYY,@,OAK,"W,3-1",CG,4,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.320,.452,.620,1.072,4,.78,0.073,1.00,0.06%,0.50,3B
15,2181,15,Apr 22,NYY,@,OAK,"L,2-4",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.315,.439,.593,1.032,4,.87,-0.030,1.11,-0.02%,-0.37,3B
16,2182,16,Apr 23,NYY,@,LAA,"L,4-6",CG,5,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.322,.437,.576,1.013,4,1.12,0.091,1.42,0.07%,0.90,3B
17,2183,17,Apr 24,NYY,@,LAA,"W,7-1",CG,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.313,.421,.547,.968,4,.49,-0.012,.60,-0.01%,-1.01,DH
18,2184,18,Apr 25,NYY,@,LAA,"L,4-8",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.294,.400,.515,.915,4,.77,-0.079,.99,-0.06%,-0.94,3B
19,2185,19,Apr 27,NYY,@,BAL,"L,4-5",CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.274,.376,.479,.856,4,2.30,-0.317,2.97,-0.25%,-1.91,3B
20,2186,20,Apr 28,NYY,@,BAL,"W,8-3",CG,5,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.260,.356,.455,.810,4,.37,0.006,.47,0.01%,-0.94,3B
21,2187,21,Apr 29,NYY,@,BAL,"W,4-0",CG,4,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.250,.340,.438,.778,4,.83,-0.044,1.05,-0.03%,-0.73,3B
22,2188,22,Apr 30,NYY,,CHW,"W,6-4",CG,4,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.250,.337,.440,.777,4,1.32,0.043,1.72,0.03%,0.38,3B
23,2189,23,May 1,NYY,,CHW,"L,6-7",GS-9,5,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.258,.340,.438,.778,4,1.68,-0.021,2.15,-0.02%,-0.17,3B
24,2190,25 (1),May 3,NYY,,BAL,"W,4-1",CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.258,.336,.430,.767,4,.60,0.015,.79,0.01%,-0.27,3B
